f_hz,asd_v,beta_f_vw,nep_w,nep_nopnp_w,g_usb,g_lsb,vif_dbv,nf_dsb_db,nf_ssb_db,nf_dsb_nopnp_db
7.074823e+04,1.077901e-06,2.507855e+02,4.298099e-09,3.887170e-10,4.424674e+00,4.424677e+00,-6.700906e+01,7.515765e+01,7.816795e+01,5.428481e+01
7.937942e+04,1.017616e-06,2.507856e+02,4.057712e-09,3.670857e-10,4.424678e+00,4.424681e+00,-6.700906e+01,7.465775e+01,7.766805e+01,5.378749e+01
8.906360e+04,9.607024e-07,2.507858e+02,3.830769e-09,3.466705e-10,4.424682e+00,4.424686e+00,-6.700905e+01,7.415784e+01,7.716814e+01,5.329048e+01
9.992923e+04,9.069724e-07,2.507859e+02,3.616520e-09,3.274039e-10,4.424688e+00,4.424692e+00,-6.700905e+01,7.365794e+01,7.666824e+01,5.279382e+01
1.121205e+05,8.562477e-07,2.507861e+02,3.414255e-09,3.092219e-10,4.424695e+00,4.424699e+00,-6.700904e+01,7.315804e+01,7.616834e+01,5.229755e+01
1.257990e+05,8.083602e-07,2.507864e+02,3.223302e-09,2.920643e-10,4.424703e+00,4.424708e+00,-6.700903e+01,7.265814e+01,7.566844e+01,5.180172e+01
1.411463e+05,7.631512e-07,2.507867e+02,3.043029e-09,2.758743e-10,4.424715e+00,4.424720e+00,-6.700902e+01,7.215824e+01,7.516855e+01,5.130638e+01
1.583659e+05,7.204710e-07,2.507871e+02,2.872840e-09,2.605982e-10,4.424729e+00,4.424735e+00,-6.700901e+01,7.165835e+01,7.466865e+01,5.081158e+01
1.776864e+05,6.801782e-07,2.507876e+02,2.712169e-09,2.461853e-10,4.424746e+00,4.424753e+00,-6.700899e+01,7.115845e+01,7.416876e+01,5.031740e+01
1.993639e+05,6.421392e-07,2.507882e+02,2.560484e-09,2.325878e-10,4.424769e+00,4.424776e+00,-6.700897e+01,7.065856e+01,7.366887e+01,4.982390e+01
2.236860e+05,6.062279e-07,2.507890e+02,2.417283e-09,2.197607e-10,4.424797e+00,4.424805e+00,-6.700894e+01,7.015867e+01,7.316897e+01,4.933117e+01
2.509753e+05,5.723254e-07,2.507900e+02,2.282090e-09,2.076614e-10,4.424832e+00,4.424842e+00,-6.700891e+01,6.965878e+01,7.266908e+01,4.883929e+01
2.815940e+05,5.403194e-07,2.507913e+02,2.154458e-09,1.962499e-10,4.424877e+00,4.424888e+00,-6.700886e+01,6.915888e+01,7.216919e+01,4.834837e+01
3.159480e+05,5.101037e-07,2.507929e+02,2.033964e-09,1.854881e-10,4.424933e+00,4.424946e+00,-6.700881e+01,6.865898e+01,7.166929e+01,4.785851e+01
3.544933e+05,4.815782e-07,2.507949e+02,1.920207e-09,1.753404e-10,4.425004e+00,4.425018e+00,-6.700874e+01,6.815908e+01,7.116939e+01,4.736984e+01
3.977409e+05,4.546485e-07,2.507974e+02,1.812812e-09,1.657731e-10,4.425094e+00,4.425110e+00,-6.700865e+01,6.765917e+01,7.066948e+01,4.688249e+01
4.462648e+05,4.292253e-07,2.508006e+02,1.711420e-09,1.567544e-10,4.425207e+00,4.425225e+00,-6.700854e+01,6.715925e+01,7.016956e+01,4.639661e+01
5.007085e+05,4.052243e-07,2.508047e+02,1.615697e-09,1.482543e-10,4.425349e+00,4.425369e+00,-6.700840e+01,6.665931e+01,6.966962e+01,4.591237e+01
5.617942e+05,3.825661e-07,2.508098e+02,1.525324e-09,1.402444e-10,4.425529e+00,4.425551e+00,-6.700822e+01,6.615935e+01,6.916967e+01,4.542995e+01
6.303323e+05,3.611754e-07,2.508162e+02,1.440001e-09,1.326982e-10,4.425755e+00,4.425779e+00,-6.700800e+01,6.565937e+01,6.866968e+01,4.494955e+01
7.072319e+05,3.409815e-07,2.508242e+02,1.359444e-09,1.255903e-10,4.426039e+00,4.426067e+00,-6.700772e+01,6.515934e+01,6.816965e+01,4.447138e+01
7.935132e+05,3.219174e-07,2.508344e+02,1.283386e-09,1.188969e-10,4.426397e+00,4.426429e+00,-6.700737e+01,6.465926e+01,6.766957e+01,4.399569e+01
8.903207e+05,3.039199e-07,2.508472e+02,1.211574e-09,1.125957e-10,4.426849e+00,4.426884e+00,-6.700693e+01,6.415911e+01,6.716942e+01,4.352274e+01
9.989386e+05,2.869294e-07,2.508633e+02,1.143768e-09,1.066654e-10,4.427417e+00,4.427456e+00,-6.700637e+01,6.365887e+01,6.666918e+01,4.305279e+01
1.120808e+06,2.708895e-07,2.508835e+02,1.079742e-09,1.010860e-10,4.428133e+00,4.428177e+00,-6.700567e+01,6.315850e+01,6.616883e+01,4.258616e+01
1.257545e+06,2.557471e-07,2.509091e+02,1.019282e-09,9.583847e-11,4.429034e+00,4.429084e+00,-6.700478e+01,6.265799e+01,6.566831e+01,4.212316e+01
1.410963e+06,2.414521e-07,2.509412e+02,9.621858e-10,9.090494e-11,4.430169e+00,4.430225e+00,-6.700367e+01,6.215728e+01,6.516761e+01,4.166414e+01
1.583099e+06,2.279569e-07,2.509817e+02,9.082611e-10,8.626841e-11,4.431598e+00,4.431660e+00,-6.700227e+01,6.165631e+01,6.466664e+01,4.120946e+01
1.776235e+06,2.152169e-07,2.510326e+02,8.573263e-10,8.191272e-11,4.433397e+00,4.433467e+00,-6.700051e+01,6.115502e+01,6.416535e+01,4.075948e+01
1.992933e+06,2.031897e-07,2.510967e+02,8.092090e-10,7.782256e-11,4.435661e+00,4.435740e+00,-6.699829e+01,6.065330e+01,6.366364e+01,4.031460e+01
2.236068e+06,1.918356e-07,2.511774e+02,7.637454e-10,7.398328e-11,4.438512e+00,4.438600e+00,-6.699550e+01,6.015106e+01,6.316140e+01,3.987520e+01
2.508865e+06,1.811167e-07,2.512789e+02,7.207798e-10,7.038092e-11,4.442099e+00,4.442198e+00,-6.699199e+01,5.964813e+01,6.265848e+01,3.944167e+01
2.814943e+06,1.709976e-07,2.514065e+02,6.801639e-10,6.700204e-11,4.446613e+00,4.446724e+00,-6.698758e+01,5.914435e+01,6.215470e+01,3.901438e+01
3.158362e+06,1.614447e-07,2.515670e+02,6.417560e-10,6.383371e-11,4.452293e+00,4.452418e+00,-6.698204e+01,5.863947e+01,6.164983e+01,3.859366e+01
3.543678e+06,1.524261e-07,2.517688e+02,6.054207e-10,6.086335e-11,4.459438e+00,4.459578e+00,-6.697507e+01,5.813321e+01,6.114358e+01,3.817983e+01
3.976002e+06,1.439118e-07,2.520223e+02,5.710281e-10,5.807874e-11,4.468424e+00,4.468582e+00,-6.696633e+01,5.762520e+01,6.063558e+01,3.777312e+01
4.461068e+06,1.358737e-07,2.523408e+02,5.384530e-10,5.546780e-11,4.479723e+00,4.479900e+00,-6.695536e+01,5.711500e+01,6.012539e+01,3.737365e+01
5.005312e+06,1.282847e-07,2.527404e+02,5.075750e-10,5.301860e-11,4.493924e+00,4.494124e+00,-6.694162e+01,5.660204e+01,5.961244e+01,3.698146e+01
5.615954e+06,1.211197e-07,2.532416e+02,4.782772e-10,5.071919e-11,4.511765e+00,4.511989e+00,-6.692441e+01,5.608562e+01,5.909603e+01,3.659641e+01
6.301092e+06,1.143546e-07,2.538695e+02,4.504465e-10,4.855752e-11,4.534166e+00,4.534419e+00,-6.690290e+01,5.556488e+01,5.857530e+01,3.621817e+01
7.069816e+06,1.079668e-07,2.546552e+02,4.239727e-10,4.652132e-11,4.562273e+00,4.562559e+00,-6.687606e+01,5.503876e+01,5.804920e+01,3.584616e+01
7.932324e+06,1.019349e-07,2.556367e+02,3.987489e-10,4.459802e-11,4.597510e+00,4.597834e+00,-6.684265e+01,5.450598e+01,5.751643e+01,3.547951e+01
8.900057e+06,9.623833e-08,2.568606e+02,3.746715e-10,4.277470e-11,4.641638e+00,4.642004e+00,-6.680116e+01,5.396498e+01,5.697545e+01,3.511703e+01
9.985851e+06,9.085795e-08,2.583830e+02,3.516405e-10,4.103803e-11,4.696824e+00,4.697240e+00,-6.674983e+01,5.341393e+01,5.642442e+01,3.475711e+01
1.120411e+07,8.577538e-08,2.602713e+02,3.295614e-10,3.937431e-11,4.765724e+00,4.766198e+00,-6.668659e+01,5.285066e+01,5.586117e+01,3.439774e+01
1.257100e+07,8.097318e-08,2.626049e+02,3.083461e-10,3.776963e-11,4.851565e+00,4.852106e+00,-6.660906e+01,5.227268e+01,5.528322e+01,3.403645e+01
1.410464e+07,7.643476e-08,2.654760e+02,2.879159e-10,3.621012e-11,4.958233e+00,4.958854e+00,-6.651461e+01,5.167719e+01,5.468777e+01,3.367032e+01
1.582539e+07,7.214427e-08,2.689898e+02,2.682045e-10,3.468236e-11,5.090354e+00,5.091069e+00,-6.640040e+01,5.106117e+01,5.407178e+01,3.329603e+01
1.775606e+07,6.808657e-08,2.732624e+02,2.491618e-10,3.317398e-11,5.253347e+00,5.254175e+00,-6.626351e+01,5.042145e+01,5.343209e+01,3.290996e+01
1.992228e+07,6.424716e-08,2.784179e+02,2.307580e-10,3.167443e-11,5.453441e+00,5.454405e+00,-6.610117e+01,4.975492e+01,5.276561e+01,3.250836e+01
2.235277e+07,6.061215e-08,2.845824e+02,2.129863e-10,3.017582e-11,5.697608e+00,5.698737e+00,-6.591095e+01,4.905878e+01,5.206951e+01,3.208756e+01
2.507977e+07,5.716824e-08,2.918758e+02,1.958650e-10,2.867377e-11,5.993387e+00,5.994721e+00,-6.569115e+01,4.833084e+01,5.134162e+01,3.164431e+01
2.813947e+07,5.390269e-08,3.003995e+02,1.794367e-10,2.716805e-11,6.348553e+00,6.350138e+00,-6.544113e+01,4.756988e+01,5.058072e+01,3.117606e+01
3.157244e+07,5.080340e-08,3.102236e+02,1.637638e-10,2.566282e-11,6.770580e+00,6.772476e+00,-6.516162e+01,4.677597e+01,4.978688e+01,3.068132e+01
3.542424e+07,4.785901e-08,3.213707e+02,1.489215e-10,2.416640e-11,7.265891e+00,7.268174e+00,-6.485499e+01,4.595070e+01,4.896168e+01,3.015987e+01
3.974595e+07,4.505907e-08,3.338026e+02,1.349872e-10,2.269046e-11,7.838909e+00,7.841673e+00,-6.452532e+01,4.509734e+01,4.810841e+01,2.961297e+01
4.459490e+07,4.239431e-08,3.474090e+02,1.220300e-10,2.124874e-11,8.490992e+00,8.494351e+00,-6.417829e+01,4.422076e+01,4.723192e+01,2.904335e+01
5.003541e+07,3.985698e-08,3.620038e+02,1.101010e-10,1.985577e-11,9.219398e+00,9.223490e+00,-6.382085e+01,4.332719e+01,4.633845e+01,2.845510e+01
5.613966e+07,3.744122e-08,3.773289e+02,9.922702e-11,1.852551e-11,1.001651e+01,1.002150e+01,-6.346071e+01,4.242389e+01,4.543527e+01,2.785357e+01
6.298862e+07,3.514327e-08,3.930676e+02,8.940772e-11,1.727057e-11,1.086953e+01,1.087560e+01,-6.310577e+01,4.151872e+01,4.453023e+01,2.724524e+01
7.067314e+07,3.296151e-08,4.088655e+02,8.061700e-11,1.610163e-11,1.176081e+01,1.176818e+01,-6.276350e+01,4.061967e+01,4.363133e+01,2.663759e+01
7.929517e+07,3.089601e-08,4.243558e+02,7.280685e-11,1.502726e-11,1.266883e+01,1.267774e+01,-6.244051e+01,3.973450e+01,4.274633e+01,2.603902e+01
8.896907e+07,2.894770e-08,4.391840e+02,6.591245e-11,1.405375e-11,1.356967e+01,1.358038e+01,-6.214218e+01,3.887032e+01,4.188234e+01,2.545863e+01
9.982317e+07,2.711722e-08,4.530290e+02,5.985758e-11,1.318482e-11,1.443871e+01,1.445150e+01,-6.187259e+01,3.803327e+01,4.104549e+01,2.490574e+01
1.120015e+08,2.540378e-08,4.656164e+02,5.455946e-11,1.242135e-11,1.525222e+01,1.526737e+01,-6.163455e+01,3.722819e+01,4.024065e+01,2.438918e+01
1.256655e+08,2.380439e-08,4.767244e+02,4.993323e-11,1.176123e-11,1.598862e+01,1.600645e+01,-6.142976e+01,3.645848e+01,3.947120e+01,2.391642e+01
1.409965e+08,2.231361e-08,4.861819e+02,4.589560e-11,1.119950e-11,1.662930e+01,1.665010e+01,-6.125914e+01,3.572599e+01,3.873901e+01,2.349286e+01
1.581979e+08,2.092390e-08,4.938617e+02,4.236793e-11,1.072891e-11,1.715881e+01,1.718289e+01,-6.112300e+01,3.503119e+01,3.804453e+01,2.312141e+01
1.774978e+08,1.962619e-08,4.996687e+02,3.927841e-11,1.034068e-11,1.756470e+01,1.759236e+01,-6.102147e+01,3.437337e+01,3.738709e+01,2.280253e+01
1.991523e+08,1.841061e-08,5.035264e+02,3.656335e-11,1.002536e-11,1.783696e+01,1.786848e+01,-6.095467e+01,3.375104e+01,3.676517e+01,2.253459e+01
2.234485e+08,1.726702e-08,5.053622e+02,3.416760e-11,9.773614e-12,1.796726e+01,1.800290e+01,-6.092306e+01,3.316221e+01,3.617681e+01,2.231449e+01
2.507090e+08,1.618544e-08,5.050946e+02,3.204437e-11,9.576728e-12,1.794824e+01,1.798818e+01,-6.092766e+01,3.260471e+01,3.561984e+01,2.213826e+01
2.812951e+08,1.515628e-08,5.026219e+02,3.015443e-11,9.426959e-12,1.777293e+01,1.781732e+01,-6.097028e+01,3.207642e+01,3.509214e+01,2.200162e+01
3.156127e+08,1.417044e-08,4.978164e+02,2.846519e-11,9.317636e-12,1.743471e+01,1.748357e+01,-6.105373e+01,3.157535e+01,3.459173e+01,2.190029e+01
3.541170e+08,1.321939e-08,4.905248e+02,2.694949e-11,9.243109e-12,1.692771e+01,1.698095e+01,-6.118189e+01,3.109968e+01,3.411681e+01,2.183025e+01
3.973188e+08,1.229529e-08,4.805764e+02,2.558447e-11,9.198574e-12,1.624805e+01,1.630539e+01,-6.135986e+01,3.064774e+01,3.366569e+01,2.178775e+01
4.457911e+08,1.139113e-08,4.678003e+02,2.435041e-11,9.179817e-12,1.539563e+01,1.545661e+01,-6.159390e+01,3.021779e+01,3.323668e+01,2.176921e+01
5.001770e+08,1.050112e-08,4.520537e+02,2.322979e-11,9.182900e-12,1.437661e+01,1.444051e+01,-6.189131e+01,2.980793e+01,3.282787e+01,2.177106e+01
5.611979e+08,9.621117e-09,4.332580e+02,2.220644e-11,9.203857e-12,1.320595e+01,1.327183e+01,-6.226018e+01,2.941585e+01,3.243697e+01,2.178956e+01
6.296633e+08,8.749313e-09,4.114406e+02,2.126507e-11,9.238439e-12,1.190942e+01,1.197610e+01,-6.270897e+01,2.903874e+01,3.206118e+01,2.182061e+01
7.064813e+08,7.886830e-09,3.867747e+02,2.039128e-11,9.282031e-12,1.052428e+01,1.059042e+01,-6.324595e+01,2.867329e+01,3.169721e+01,2.185975e+01
7.926710e+08,7.038203e-09,3.596068e+02,1.957194e-11,9.329802e-12,9.097710e+00,9.161882e+00,-6.387855e+01,2.831592e+01,3.134151e+01,2.190240e+01
8.893758e+08,6.211380e-09,3.304611e+02,1.879610e-11,9.377143e-12,7.682754e+00,7.743583e+00,-6.461271e+01,2.796327e+01,3.099073e+01,2.194422e+01
9.978784e+08,5.417041e-09,3.000143e+02,1.805595e-11,9.420323e-12,6.332280e+00,6.388560e+00,-6.545227e+01,2.761280e+01,3.064236e+01,2.198179e+01
1.119618e+09,4.667192e-09,2.690406e+02,1.734754e-11,9.457195e-12,5.092275e+00,5.143083e+00,-6.639876e+01,2.726343e+01,3.029534e+01,2.201316e+01
1.256210e+09,3.973316e-09,2.383376e+02,1.667096e-11,9.487687e-12,3.996332e+00,4.041096e+00,-6.745126e+01,2.691592e+01,2.995048e+01,2.203832e+01
1.409466e+09,3.344585e-09,2.086496e+02,1.602967e-11,9.513945e-12,3.062750e+00,3.101269e+00,-6.860676e+01,2.657296e+01,2.961049e+01,2.205923e+01
1.581419e+09,2.786627e-09,1.806044e+02,1.542945e-11,9.540075e-12,2.294738e+00,2.327143e+00,-6.986054e+01,2.623891e+01,2.927977e+01,2.207959e+01
1.774350e+09,2.301112e-09,1.546748e+02,1.487710e-11,9.571660e-12,1.683121e+00,1.709812e+00,-7.120672e+01,2.591932e+01,2.896392e+01,2.210440e+01
1.990818e+09,1.886108e-09,1.311666e+02,1.437948e-11,9.615223e-12,1.210382e+00,1.231939e+00,-7.263865e+01,2.562041e+01,2.866921e+01,2.213943e+01
2.233695e+09,1.536910e-09,1.102280e+02,1.394300e-11,9.677813e-12,8.547922e-01,8.718913e-01,-7.414927e+01,2.534872e+01,2.840224e+01,2.219075e+01
2.506202e+09,1.247035e-09,9.187330e+01,1.357342e-11,9.766761e-12,5.938201e-01,6.071640e-01,-7.573133e+01,2.511079e+01,2.816962e+01,2.226447e+01
2.811955e+09,1.009137e-09,7.601157e+01,1.327609e-11,9.889613e-12,4.064767e-01,4.167389e-01,-7.737752e+01,2.491308e+01,2.797786e+01,2.236649e+01
3.155010e+09,8.157279e-10,6.247757e+01,1.305633e-11,1.005420e-11,2.746152e-01,2.824060e-01,-7.908063e+01,2.476191e+01,2.783338e+01,2.250238e+01
3.539917e+09,6.596721e-10,5.105909e+01,1.291978e-11,1.026875e-11,1.834098e-01,1.892577e-01,-8.083365e+01,2.466340e+01,2.774239e+01,2.267730e+01
3.971782e+09,5.344823e-10,4.152024e+01,1.287281e-11,1.054210e-11,1.212819e-01,1.256290e-01,-8.262992e+01,2.462346e+01,2.771090e+01,2.289588e+01
4.456334e+09,4.344632e-10,3.361979e+01,1.292284e-11,1.088380e-11,7.951818e-02,8.272286e-02,-8.446321e+01,2.464756e+01,2.774450e+01,2.316211e+01
5.000000e+09,3.547476e-10,2.712453e+01,1.307848e-11,1.130433e-11,5.176076e-02,5.410688e-02,-8.632787e+01,2.474055e+01,2.784817e+01,2.347923e+01
